Cultivo;Campaña;Zona;Sembrado (Ha);Perdído(Ha);Cosechado(Ha);Rinde(qq/Ha);Producción(MTn)
Soja;2013/2014;TOTAL;19300000;850000;18450000;27.9;51500436
Soja;2014/2015;I;900000;30000;870000;24;2088000
Soja;2014/2015;II;1500000;70000;1430000;20;2854280
Soja;2014/2015;III;2200000;65000;2135000;38.1;8134564
Soja;2014/2015;IV;1700000;45000;1655000;34.6;5726300
Soja;2014/2015;V;1300000;80000;1220000;33;4027105
Soja;2014/2015;VI;3270000;150000;3120000;41.6;12991514
Soja;2014/2015;VII;2730000;70000;2660000;39.8;10586800
Soja;2014/2015;VIII;1250000;70000;1180000;27.1;3197800
Soja;2014/2015;IX;1850000;100000;1750000;30.4;5311250
Soja;2014/2015;X;650000;55000;595000;24;1430540
Soja;2014/2015;XI;520000;45000;475000;15.9;755250
Soja;2014/2015;XII;1680000;100000;1580000;15.5;2441100
Soja;2014/2015;XIII;180000;5000;175000;30.7;537789
Soja;2014/2015;XIV;220000;12000;208000;29.4;611520
Soja;2014/2015;XV;50000;3000;47000;23.4;110049
Soja;2014/2015;TOTAL;20000000;900000;19100000;31.8;60803860
Soja;2015/2016;I;800000;26000;774000;25.8;1996920
Soja;2015/2016;II;1410000;86000;1324000;21.3;2820120
Soja;2015/2016;III;2300000;240000;2060000;31.2;6427200
Soja;2015/2016;IV;1750000;150000;1600000;35.5;5680000
Soja;2015/2016;V;1400000;370000;1030000;22.8;2348400
Soja;2015/2016;VI;3000000;180000;2820000;33.9;9559800
Soja;2015/2016;VII;2600000;140000;2460000;35.8;8806800
Soja;2015/2016;VIII;1300000;250000;1050000;18.9;1984500
Soja;2015/2016;IX;2200000;60000;2140000;36.5;7811000
Soja;2015/2016;X;760000;30000;730000;32.4;2365200
Soja;2015/2016;XI;600000;34000;566000;25;1412865
Soja;2015/2016;XII;1580000;65000;1515000;24.5;3705325
Soja;2015/2016;XIII;180000;6000;174000;29.4;511560
Soja;2015/2016;XIV;170000;10000;160000;28.8;460800
Soja;2015/2016;XV;50000;3000;47000;23.3;109510
Soja;2015/2016;TOTAL;20100000;1650000;18450000;30.4;56000000
Soja;2016/2017;I;915365;80000;835365;26.5;2212885
Soja;2016/2017;II;1348958;77000;1271958;32.9;4189615
Soja;2016/2017;III;2119792;69000;2050792;33.4;6848297
Soja;2016/2017;IV;1580208;122000;1458208;33;4814914
Soja;2016/2017;V;1241146;122000;1119146;30.5;3413501
Soja;2016/2017;VI;2636458;141000;2495458;36.3;9062620
Soja;2016/2017;VII;2349948;274000;2075948;36.4;7554208
Soja;2016/2017;VIII;1172969;42000;1130969;28.2;3192391
Soja;2016/2017;IX;2002344;215000;1787344;34.5;6172997
Soja;2016/2017;X;770833;65000;705833;29;2044830
Soja;2016/2017;XI;402865;32500;370365;24.3;900185
Soja;2016/2017;XII;1202604;88000;1114604;19.2;2135668
Soja;2016/2017;XIII;192708;11500;181208;28.3;513383
Soja;2016/2017;XIV;125260;6500;118760;30.1;357927
Soja;2016/2017;XV;38542;2500;36042;24.4;87885
Soja;2016/2017;TOTAL;18100000;1348000;16752000;31.9;53501305
Soja;2017/2018;I;1050000;24100;1025900;25.2;2583171
Soja;2017/2018;II;1650000;37900;1612100;20.9;3363831
Soja;2017/2018;III;1980000;95788;1884212;19;3578127
Soja;2017/2018;IV;1630000;69574;1560426;20.3;3173163
Soja;2017/2018;V;1099937;47195;1052741;18.5;1949922
Soja;2017/2018;VI;2210715;55745;2154970;28.3;6106677
Soja;2017/2018;VII;2170785;77882;2092902;28.5;5965389
Soja;2017/2018;VIII;1030251;72999;957252;9.9;951886
Soja;2017/2018;IX;1813508;78982;1734526;25.5;4427570
Soja;2017/2018;X;730000;217663;512337;15;769814
Soja;2017/2018;XI;302425;66619;235807;11.3;267089
Soja;2017/2018;XII;910381;42676;867705;14.4;1248474
Soja;2017/2018;XIII;292000;2819;289181;17.7;511590
Soja;2017/2018;XIV;250000;20450;229550;20.9;478838
Soja;2017/2018;XV;80000;700;79300;15.7;124641
Soja;2017/2018;TOTAL;17200000;911092;16288908;21.8;35500182
Soja;2018/2019;I;1010000;49876;960124;30;2879407
Soja;2018/2019;II;1380000;224533;1155467;29.6;3423676
Soja;2018/2019;III;1860000;38000;1822000;37.8;6880193
Soja;2018/2019;IV;1660000;36000;1624000;33.3;5414088
Soja;2018/2019;V;1093111;78562;1014549;32;3245212
Soja;2018/2019;VI;2275894;51938;2223956;41.8;9297279
Soja;2018/2019;VII;2111135;43612;2067523;38.1;7884136
Soja;2018/2019;VIII;1064100;69538;994562;28.2;2808490
Soja;2018/2019;IX;1903216;112045;1791171;37;6633491
Soja;2018/2019;X;840000;49258;790742;30.3;2394743
Soja;2018/2019;XI;423078;32387;390691;17.4;680970
Soja;2018/2019;XII;899028;40141;858888;17.3;1487134
Soja;2018/2019;XIII;285438;7131;278307;23.9;664318
Soja;2018/2019;XIV;215000;11967;203033;30.9;626661
Soja;2018/2019;XV;80000;3500;76500;23.6;180559
Soja;2018/2019;TOTAL;17100000;848487;16251513;33.5;54500356
Soja;2019/2020;I;950000;23170;926830;26.3;2439316
Soja;2019/2020;II;1540000;46880;1493120;28;4187222
Soja;2019/2020;III;1860000;41176;1818824;32.3;5868983
Soja;2019/2020;IV;1665000;36788;1628212;29.2;4757719
Soja;2019/2020;V;1128793;53735;1075058;32;3440940
Soja;2019/2020;VI;2334214;57896;2276318;34.4;7825940
Soja;2019/2020;VII;2277714;64627;2213087;33.7;7464244
Soja;2019/2020;VIII;1140560;51920;1088641;20.1;2183257
Soja;2019/2020;IX;1908998;75380;1833618;33.6;6162691
Soja;2019/2020;X;706000;36654;669346;27.1;1813477
Soja;2019/2020;XI;330294;15909;314386;17.4;548515
Soja;2019/2020;XII;726360;36290;690070;18.6;1285404
Soja;2019/2020;XIII;244067;17349;226718;12.6;285229
Soja;2019/2020;XIV;208000;7040;200960;27.9;561644
Soja;2019/2020;XV;80000;1600;78400;23.4;183211
Soja;2019/2020;TOTAL;17100000;566412;16533588;29.6;49007793
Soja;2020/2021;I;1369476;49950;1319526;25.6;3376636
Soja;2020/2021;II;1635000;90030;1544970;20.9;3225998
Soja;2020/2021;III;1751400;66143;1685257;31.3;5267458
Soja;2020/2021;IV;1635600;60105;1575495;29.3;4618153
Soja;2020/2021;V;1085000;62250;1022750;28.7;2932327
Soja;2020/2021;VI;2217000;81510;2135490;30.4;6491447
Soja;2020/2021;VII;2295000;96053;2198947;29.4;6464517
Soja;2020/2021;VIII;1063000;77020;985980;19.6;1933442
Soja;2020/2021;IX;1827000;112550;1714450;27.8;4760150
Soja;2020/2021;X;680704;39143;641561;24.2;1554045
Soja;2020/2021;XI;295000;26850;268150;14.3;383900
Soja;2020/2021;XII;554000;27104;526896;17.6;928986
Soja;2020/2021;XIII;245000;11185;233815;26.7;623467
Soja;2020/2021;XIV;174820;8536;166284;24.9;414761
Soja;2020/2021;XV;72000;2970;69030;18.1;124721
Soja;2020/2021;TOTAL;16900000;811399;16088601;26.8;43100000
Maiz;2000/2001;VI;330000;15000;315000;73;2299500
Maiz;2000/2001;VIII;110000;18000;92000;61;561200
Maiz;2000/2001;VII;450000;30000;420000;75;3150000
Maiz;2000/2001;X;100000;14000;86000;58;498800
Maiz;2000/2001;XI;270000;68000;202000;42.5;858500
Maiz;2000/2001;XII;240000;90000;150000;46;690000
Maiz;2000/2001;TOTAL;3100000;480000;2620000;57.6;15104000
Maiz;2001/2002;VI;310000;18000;292000;78;2277600
Maiz;2001/2002;VIII;85000;12000;73000;56;408800
Maiz;2001/2002;VII;310000;16000;294000;77;2263800
Maiz;2001/2002;X;60000;7000;53000;58;307400
Maiz;2001/2002;XI;210000;27000;183000;41.5;759450
Maiz;2001/2002;XII;215000;21000;194000;60;1164000
Maiz;2001/2002;TOTAL;2630000;313000;2317000;62.1;14397700
Maiz;2002/2003;VI;294000;3500;290500;84;2440200
Maiz;2002/2003;VIII;60000;4000;56000;65;364000
Maiz;2002/2003;VII;270000;3800;266200;82.5;2196150
Maiz;2002/2003;X;51000;1800;49200;70;344400
Maiz;2002/2003;XI;200000;11000;189000;46;869400
Maiz;2002/2003;XII;170000;5000;165000;52;858000
Maiz;2002/2003;TOTAL;2400000;50600;2349400;66.9;15722075
Maiz;2003/2004;VI;310000;3000;307000;78;2394600
Maiz;2003/2004;VIII;63000;4500;58500;69.5;406575
Maiz;2003/2004;VII;284000;200;283800;82;2327160
Maiz;2003/2004;X;53000;500;52500;72;378000
Maiz;2003/2004;XI;210000;2800;207200;45;932400
Maiz;2003/2004;XII;150000;15000;135000;61;841800
Maiz;2003/2004;TOTAL;2280000;49500;2230500;62.8;14003135
Maiz;2004/2005;VI;460000;600;459400;96.5;4433210
Maiz;2004/2005;VIII;80000;0;80000;68;544000
Maiz;2004/2005;VII;340000;0;340000;95.5;3247000
Maiz;2004/2005;X;60000;0;60000;90;540000
Maiz;2004/2005;XI;220000;0;220000;60;1320000
Maiz;2004/2005;XII;160000;4000;156000;74;1154400
Maiz;2004/2005;TOTAL;2745000;17100;2727900;77;20995550
Maiz;2005/2006;VI;320000;600;319400;72;2299680
Maiz;2005/2006;VIII;90000;1400;88600;55;487300
Maiz;2005/2006;VII;300000;4000;296000;77;2279200
Maiz;2005/2006;X;65000;600;64400;70.1;451444
Maiz;2005/2006;XI;92000;4000;88000;60;528000
Maiz;2005/2006;XII;50000;5000;45000;70;315000
Maiz;2005/2006;TOTAL;2400000;50600;2349400;64.7;15192774
Maiz;2006/2007;I;160000;2000;158000;60;948000
Maiz;2006/2007;II;250000;0;250000;50;1250000
Maiz;2006/2007;III;330000;2000;328000;80;2624000
Maiz;2006/2007;IV;360000;9000;351000;83;2913300
Maiz;2006/2007;V;140000;0;140000;80;1120000
Maiz;2006/2007;VI;380000;0;380000;100;3800000
Maiz;2006/2007;VII;335000;0;335000;110;3685000
Maiz;2006/2007;VIII;98000;0;98000;80;784000
Maiz;2006/2007;IX;440000;8000;432000;78;3369600
Maiz;2006/2007;X;100000;0;100000;90;900000
Maiz;2006/2007;XI;125000;15000;110000;40;440000
Maiz;2006/2007;XII;72000;29000;43000;60;258000
Maiz;2006/2007;TOTAL;2870000;65000;2805000;80.2;22491900
Maiz;2007/2008;I;175875;0;175875;71;1248713
Maiz;2007/2008;II;277422;15000;262422;35;918912
Maiz;2007/2008;III;355938;13500;342438;70;2397063
Maiz;2007/2008;IV;421891;5000;416891;70;2918234
Maiz;2007/2008;V;177969;20000;157969;58;916219
Maiz;2007/2008;VI;450156;1000;449156;82;3683081
Maiz;2007/2008;VII;408281;1500;406781;78;3172894
Maiz;2007/2008;VIII;120391;5000;115391;50;576953
Maiz;2007/2008;IX;499359;10000;489359;84;4110619
Maiz;2007/2008;X;119344;3000;116344;75;872578
Maiz;2007/2008;XI;138188;16000;122188;30;366563
Maiz;2007/2008;XII;72234;30000;42234;60;253406
Maiz;2007/2008;XIII;132953;0;132953;50;664766
Maiz;2007/2008;TOTAL;3350000;120000;3230000;68.4;22100000
Maiz;2008/2009;I;117458;16220;101237;65.5;663307
Maiz;2008/2009;II;160169;22119;138051;31.3;432099
Maiz;2008/2009;III;480508;66356;414153;65.6;2716841
Maiz;2008/2009;IV;501864;69305;432559;70.7;3059060
Maiz;2008/2009;V;117458;16220;101237;31.2;315860
Maiz;2008/2009;VI;448475;61932;386542;78;3015031
Maiz;2008/2009;VII;395085;54559;340525;54.2;1845141
Maiz;2008/2009;VIII;96102;13271;82831;29.2;241865
Maiz;2008/2009;IX;427119;58983;368136;67.6;2488597
Maiz;2008/2009;X;96102;13271;82831;52;430719
Maiz;2008/2009;XI;96102;13271;82831;31.3;259259
Maiz;2008/2009;XII;58729;8110;50619;36.4;184252
Maiz;2008/2009;XIII;53390;7373;46017;57.2;263217
Maiz;2008/2009;XIV;69407;9585;59822;26;155537
Maiz;2008/2009;XV;32034;4424;27610;46.8;129216
Maiz;2008/2009;TOTAL;3150000;435000;2715000;59.7;16200000
Maiz;2009/2010;I;135839;1500;134339;70;940376
Maiz;2009/2010;II;173875;5500;168375;70;1178622
Maiz;2009/2010;III;434686;2000;432686;75;3245148
Maiz;2009/2010;IV;423819;3500;420319;73.1;3070432
Maiz;2009/2010;V;108672;1500;107172;81.1;868999
Maiz;2009/2010;VI;391218;700;390518;115;4490954
Maiz;2009/2010;VII;342315;500;341815;108;3691607
Maiz;2009/2010;VIII;108672;5000;103672;85;881208
Maiz;2009/2010;IX;467288;1400;465888;96;4472523
Maiz;2009/2010;X;76070;0;76070;90;684631
Maiz;2009/2010;XI;76070;2500;73570;48;353137
Maiz;2009/2010;XII;54336;0;54336;71;385784
Maiz;2009/2010;XIII;86937;2000;84937;53;450168
Maiz;2009/2010;XIV;43469;0;43469;90;391218
Maiz;2009/2010;XV;21734;0;21734;48.4;105194
Maiz;2009/2010;TOTAL;2945000;26100;2918900;86.4;25210000
Maiz;2010/2011;I;268643;10965;257678;63;1623373
Maiz;2010/2011;II;274126;11189;262937;65;1709091
Maiz;2010/2011;III;482462;19692;462769;62.4;2887680
Maiz;2010/2011;IV;526322;21483;504839;67.1;3385685
Maiz;2010/2011;V;158993;6490;152503;61.6;939422
Maiz;2010/2011;VI;515357;21035;494322;85;4201734
Maiz;2010/2011;VII;460531;18797;441734;78;3445527
Maiz;2010/2011;VIII;164476;6713;157762;48;757259
Maiz;2010/2011;IX;537287;21930;515357;66;3401354
Maiz;2010/2011;X;131580;5371;126210;74;933952
Maiz;2010/2011;XI;109650;4476;105175;53;557427
Maiz;2010/2011;XII;87720;3580;84140;74;622635
Maiz;2010/2011;XIII;120615;4923;115692;56;647877
Maiz;2010/2011;XIV;60308;2462;57846;63;364431
Maiz;2010/2011;XV;21930;895;21035;44;92554
Maiz;2010/2011;TOTAL;3920000;160000;3760000;68;25570000
Maiz;2011/2012;I;268564;23968;244596;52.4;1281133
Maiz;2011/2012;II;304035;27134;276902;45.5;1260550
Maiz;2011/2012;III;506725;45223;461503;65.5;3022084
Maiz;2011/2012;IV;582734;52006;530728;47.9;2541406
Maiz;2011/2012;V;162152;14471;147681;55.4;818292
Maiz;2011/2012;VI;567532;50649;516883;63.9;3305308
Maiz;2011/2012;VII;526994;47032;479963;51.8;2486806
Maiz;2011/2012;VIII;167219;14923;152296;51.2;779654
Maiz;2011/2012;IX;587801;52458;535343;59.2;3168388
Maiz;2011/2012;X;263497;23516;239981;55.7;1336778
Maiz;2011/2012;XI;108439;9678;98762;47.1;464686
Maiz;2011/2012;XII;91211;8140;83071;69.8;580139
Maiz;2011/2012;XIII;152018;13567;138451;44;608987
Maiz;2011/2012;XIV;60807;5427;55380;44.5;246509
Maiz;2011/2012;XV;20269;1809;18460;53.8;99280
Maiz;2011/2012;TOTAL;4370000;390000;3980000;55.3;22000000
Maiz;2012/2013;I;284598;70000;214598;29.3;629736
Maiz;2012/2013;II;306077;15400;290677;46.8;1360367
Maiz;2012/2013;III;483279;13000;470279;75.3;3539319
Maiz;2012/2013;IV;489723;50000;439723;71.4;3137861
Maiz;2012/2013;V;157871;11200;146671;70.7;1037248
Maiz;2012/2013;VI;492945;15000;477945;92.6;4425766
Maiz;2012/2013;VII;440321;17000;423321;94.2;3988565
Maiz;2012/2013;VIII;162167;7500;154667;59.6;921720
Maiz;2012/2013;IX;446765;22000;424765;79.7;3385373
Maiz;2012/2013;X;241639;11000;230639;81.8;1886631
Maiz;2012/2013;XI;114913;6000;108913;53.8;585407
Maiz;2012/2013;XII;100952;4500;96452;84.3;813328
Maiz;2012/2013;XIII;147132;6000;141132;52.9;746868
Maiz;2012/2013;XIV;61215;5500;55715;80.4;447951
Maiz;2012/2013;XV;20405;2500;17905;52.4;93859
Maiz;2012/2013;TOTAL;3950000;256600;3693400;73.1;27000000
Maiz;2013/2014;I;300000;13000;287000;64;1788010
Maiz;2013/2014;II;320000;10500;309500;71.3;2163405
Maiz;2013/2014;III;625000;11000;614000;84;5157600
Maiz;2013/2014;IV;440000;18000;422000;75.5;3260794
Maiz;2013/2014;V;145000;24000;121000;66.5;804650
Maiz;2013/2014;VI;385000;6000;379000;88.3;3373100
Maiz;2013/2014;VII;345000;10000;335000;91;3073625
Maiz;2013/2014;VIII;160000;11000;149000;54.8;819128
Maiz;2013/2014;IX;455000;25000;430000;74;3214250
Maiz;2013/2014;X;235000;9000;226000;66.3;1440750
Maiz;2013/2014;XI;109000;8500;100500;43.5;459788
Maiz;2013/2014;XII;98000;4500;93500;66.5;686056
Maiz;2013/2014;XIII;140000;3200;136800;64;878101
Maiz;2013/2014;XIV;52000;3500;48500;68.8;337924
Maiz;2013/2014;XV;21000;2800;18200;52;92820
Maiz;2013/2014;TOTAL;3830000;160000;3670000;75.1;27550000
Maiz;2014/2015;I;236216;9014;227203;70.5;1600643
Maiz;2014/2015;II;369730;14108;355622;66.5;2364232
Maiz;2014/2015;III;611081;23318;587764;82.3;4836118
Maiz;2014/2015;IV;523784;19986;503797;78.5;3956824
Maiz;2014/2015;V;143784;5486;138297;76.5;1058037
Maiz;2014/2015;VI;398486;15205;383281;100.3;3843229
Maiz;2014/2015;VII;364595;13912;350682;99.4;3484030
Maiz;2014/2015;VIII;154054;5878;148176;63.1;934248
Maiz;2014/2015;IX;410811;15676;395135;84.5;3338892
Maiz;2014/2015;X;184865;7054;177811;79.6;1414485
Maiz;2014/2015;XI;102703;3919;98784;60.9;601392
Maiz;2014/2015;XII;94486;3605;90881;74.4;675978
Maiz;2014/2015;XIII;126324;4820;121504;70.8;860025
Maiz;2014/2015;XIV;54432;2077;52355;80.2;420098
Maiz;2014/2015;XV;24649;941;23708;47.1;111768
Maiz;2014/2015;TOTAL;3800000;145000;3655000;80.7;29500000
Maiz;2015/2016;I;278954;9643;269311;63;1696661
Maiz;2015/2016;II;461824;15964;445860;62;2764330
Maiz;2015/2016;III;599235;20714;578520;86.2;4988094
Maiz;2015/2016;IV;528980;18286;510694;87.2;4455429
Maiz;2015/2016;V;171505;5929;165577;70;1159376
Maiz;2015/2016;VI;400867;13857;387010;93.1;3603311
Maiz;2015/2016;VII;306849;10607;296242;92.1;2726911
Maiz;2015/2016;VIII;132245;4571;127673;70;893770
Maiz;2015/2016;IX;433929;15000;418929;92;3854143
Maiz;2015/2016;X;222130;7679;214452;84.3;1807826
Maiz;2015/2016;XI;118814;4107;114707;75.1;861734
Maiz;2015/2016;XII;123980;4286;119694;85.7;1025178
Maiz;2015/2016;XIII;165306;5714;159592;74.3;1185767
Maiz;2015/2016;XIV;80587;2786;77801;81.5;634078
Maiz;2015/2016;XV;24796;857;23939;59.9;143393
Maiz;2015/2016;TOTAL;4050000;140000;3910000;81.3;31800000
Maiz;2016/2017;I;365240;16385;348856;67;2337334
Maiz;2016/2017;II;607019;27231;579788;67;3887266
Maiz;2016/2017;III;785010;35215;749794;85.8;6435010
Maiz;2016/2017;IV;673894;30231;643663;85.5;5500487
Maiz;2016/2017;V;226346;10154;216192;66.8;1444494
Maiz;2016/2017;VI;524712;23538;501173;93.4;4683212
Maiz;2016/2017;VII;406394;18231;388163;98.1;3809143
Maiz;2016/2017;VIII;172846;7754;165092;68.2;1126250
Maiz;2016/2017;IX;560721;25154;535567;85.1;4558685
Maiz;2016/2017;X;292192;13108;279085;81;2260585
Maiz;2016/2017;XI;169760;7615;162144;57.5;932076
Maiz;2016/2017;XII;200625;9000;191625;71.2;1365260
Maiz;2016/2017;XIII;226346;10154;216192;75.2;1626390
Maiz;2016/2017;XIV;108029;4846;103183;83.8;865060
Maiz;2016/2017;XV;30865;1385;29481;57.2;168748
Maiz;2016/2017;TOTAL;5350000;240000;5110000;80.2;41000000
Maiz;2017/2018;I;331228;13193;318035;61;1940014
Maiz;2017/2018;II;610702;24325;586377;54.1;3172301
Maiz;2017/2018;III;869474;34632;834842;56.7;4731468
Maiz;2017/2018;IV;734912;29272;705640;58.2;4104507
Maiz;2017/2018;V;217368;8658;208711;42.1;879297
Maiz;2017/2018;VI;600351;23912;576439;79.2;4566835
Maiz;2017/2018;VII;486491;19377;467114;75.7;3534677
Maiz;2017/2018;VIII;289825;11544;278281;42.4;1179910
Maiz;2017/2018;IX;621053;24737;596316;68.5;4084763
Maiz;2017/2018;X;310526;12368;298158;55.1;1643020
Maiz;2017/2018;XI;165614;6596;159018;44;699163
Maiz;2017/2018;XII;207018;8246;198772;57.7;1147708
Maiz;2017/2018;XIII;320877;12781;308096;50.9;1569278
Maiz;2017/2018;XIV;103509;4123;99386;60.5;601285
Maiz;2017/2018;XV;31053;1263;29789;48.9;145774
Maiz;2017/2018;TOTAL;5900000;235026;5664974;60;34000000
Maiz;2018/2019;I;361111;11389;349722;70;2448056
Maiz;2018/2019;II;639683;20175;619508;63.5;3933875
Maiz;2018/2019;III;949206;29937;919270;90.2;8295951
Maiz;2018/2019;IV;825397;26032;799365;84.6;6759431
Maiz;2018/2019;V;237302;7484;229817;72;1653652
Maiz;2018/2019;VI;691270;21802;669468;104.3;6984964
Maiz;2018/2019;VII;551984;17409;534575;102.5;5478596
Maiz;2018/2019;VIII;325000;10250;314750;71.5;2251092
Maiz;2018/2019;IX;691270;21802;669468;89.2;5971657
Maiz;2018/2019;X;335317;10575;324742;80.7;2621480
Maiz;2018/2019;XI;175397;5532;169865;63.5;1078643
Maiz;2018/2019;XII;237302;7484;229817;75.7;1739718
Maiz;2018/2019;XIII;335317;10575;324742;62.6;2033034
Maiz;2018/2019;XIV;113492;3579;109913;79.8;877488
Maiz;2018/2019;XV;30952;976;29976;57.5;172363
Maiz;2018/2019;TOTAL;6500000;205000;6295000;83.1;52300000
Maiz;2019/2020;I;400000;10800;389200;65;2529800
Maiz;2019/2020;II;700000;19000;681000;66;4494600
Maiz;2019/2020;III;925000;27000;898000;86.1;7731270
Maiz;2019/2020;IV;800000;24000;776000;82.8;6421866
Maiz;2019/2020;V;240000;7000;233000;67.3;1568673
Maiz;2019/2020;VI;680000;20000;660000;101.3;6687368
Maiz;2019/2020;VII;540000;16100;523900;99.9;5235123
Maiz;2019/2020;VIII;325000;9700;315300;65.7;2070575
Maiz;2019/2020;IX;690000;20000;670000;91.9;6156219
Maiz;2019/2020;X;330000;10000;320000;86.4;2765321
Maiz;2019/2020;XI;165000;5000;160000;63.3;1012151
Maiz;2019/2020;XII;233000;7000;226000;77.3;1745850
Maiz;2019/2020;XIII;325000;10000;315000;62.4;1965334
Maiz;2019/2020;XIV;116000;3500;112500;84.2;947291
Maiz;2019/2020;XV;31000;900;30100;56;168560
Maiz;2019/2020;TOTAL;6500000;190000;6310000;81.6;51500000
Maiz;2020/2021;I;420000;8000;412000;70.5;2904600
Maiz;2020/2021;II;720000;15400;704600;67.2;4734912
Maiz;2020/2021;III;998000;25500;972500;87.4;8498375
Maiz;2020/2021;IV;860000;22000;838000;85.6;7171269
Maiz;2020/2021;V;260000;6800;253200;64.4;1631143
Maiz;2020/2021;VI;655000;18000;637000;93.9;5981430
Maiz;2020/2021;VII;505000;15000;490000;93.2;4565820
Maiz;2020/2021;VIII;340000;10000;330000;50.6;1670229
Maiz;2020/2021;IX;750000;20000;730000;83.5;6092841
Maiz;2020/2021;X;360000;9500;350500;81.2;2845944
Maiz;2020/2021;XI;175000;5000;170000;51.3;871597
Maiz;2020/2021;XII;265000;7000;258000;76.8;1982554
Maiz;2020/2021;XIII;330000;8500;321500;73.1;2351006
Maiz;2020/2021;XIV;127000;3300;123700;81.8;1011279
Maiz;2020/2021;XV;35000;1000;34000;55.0;187000
Maiz;2020/2021;TOTAL;6800000;175000;6625000;79.2;52500000
Trigo;2000/2001;VI;830000;9000;821000;22;1806200
Trigo;2000/2001;VIII;300000;1100;298900;18.4;549976
Trigo;2000/2001;VII;740000;500;739500;27;1996650
Trigo;2000/2001;X;210000;5200;204800;28;573440
Trigo;2000/2001;XI;1280000;4000;1276000;23.1;2947560
Trigo;2000/2001;XII;1600000;20000;1580000;31.3;4945400
Trigo;2000/2001;TOTAL;6500000;94800;6405200;25;16043736
Trigo;2001/2002;VI;900000;6000;894000;19.5;1743300
Trigo;2001/2002;VIII;390000;15000;375000;13;487500
Trigo;2001/2002;VII;715000;50000;665000;20;1330000
Trigo;2001/2002;X;180000;10000;170000;23.8;404600
Trigo;2001/2002;XI;1430000;30000;1400000;23.5;3290000
Trigo;2001/2002;XII;1500000;27000;1473000;30;4419000
Trigo;2001/2002;TOTAL;7000000;300000;6700000;22.7;15220150
Trigo;2002/2003;VI;640000;10000;630000;22;1386000
Trigo;2002/2003;VIII;230000;4000;226000;18;406800
Trigo;2002/2003;VII;480000;30000;450000;20.5;922500
Trigo;2002/2003;X;180000;3000;177000;20;354000
Trigo;2002/2003;XI;1400000;5000;1395000;21;2929500
Trigo;2002/2003;XII;1450000;105000;1345000;25;3362500
Trigo;2002/2003;TOTAL;6000000;200000;5800000;21;12167900
Trigo;2003/2004;VI;600000;8000;592000;29;1716800
Trigo;2003/2004;VIII;205000;2000;203000;28;568400
Trigo;2003/2004;VII;390000;4500;385500;31.2;1202760
Trigo;2003/2004;X;185000;3200;181800;31;563580
Trigo;2003/2004;XI;1320000;55000;1265000;15.6;1973400
Trigo;2003/2004;XII;1570000;10000;1560000;35;5460000
Trigo;2003/2004;TOTAL;5830000;354700;5475300;25.6;14008040
Trigo;2004/2005;VI;640000;2000;638000;32;2041600
Trigo;2004/2005;VIII;225000;0;225000;29;652500
Trigo;2004/2005;VII;380000;0;380000;34;1292000
Trigo;2004/2005;X;220000;0;220000;31;682000
Trigo;2004/2005;XI;1365000;2000;1363000;24.6;3352980
Trigo;2004/2005;XII;1580000;0;1580000;34.5;5451000
Trigo;2004/2005;TOTAL;6090000;143000;5947000;27.7;16502680
Trigo;2005/2006;VI;580000;8000;572000;34;1944800
Trigo;2005/2006;VIII;150000;500;149500;32.5;485875
Trigo;2005/2006;VII;360000;1000;359000;39;1400100
Trigo;2005/2006;X;200000;1000;199000;39;776100
Trigo;2005/2006;XI;1120000;40000;1080000;12.3;1328400
Trigo;2005/2006;XII;1440000;9000;1431000;36;5151600
Trigo;2005/2006;TOTAL;5210000;126500;5083500;27.4;13908035
Trigo;2006/2007;VI;650000;5500;644500;30;1933500
Trigo;2006/2007;VIII;210000;1000;209000;28.1;587290
Trigo;2006/2007;VII;400000;2000;398000;40.5;1611900
Trigo;2006/2007;X;210000;600;209400;42;879480
Trigo;2006/2007;XI;940000;14000;926000;13.9;1282510
Trigo;2006/2007;XII;1410000;2100;1407900;34.3;4829097
Trigo;2006/2007;TOTAL;5380000;138200;5241800;26.3;13800627
Trigo;2007/2008;I;365000;28000;337000;10.2;343740
Trigo;2007/2008;II;98000;27000;71000;9.3;66030
Trigo;2007/2008;III;496000;500;495500;30;1486500
Trigo;2007/2008;IV;195000;2500;192500;32;616000
Trigo;2007/2008;V;246000;3500;242500;28;679000
Trigo;2007/2008;VI;665000;1800;663200;39;2586480
Trigo;2007/2008;VII;411000;3000;408000;44.9;1831920
Trigo;2007/2008;VIII;185000;1400;183600;28;514080
Trigo;2007/2008;IX;260000;3000;257000;34;873800
Trigo;2007/2008;X;217000;18500;198500;24.8;492280
Trigo;2007/2008;XI;945000;20150;924850;19.8;1831203
Trigo;2007/2008;XII;1342000;33600;1308400;28.9;3781276
Trigo;2007/2008;TOTAL;5450000;143150;5306850;28.6;15201509
Trigo;2008/2009;I;385000;70000;315000;9;283500
Trigo;2008/2009;II;30000;15000;15000;7;10500
Trigo;2008/2009;III;300000;29000;271000;18;487800
Trigo;2008/2009;IV;180000;15000;165000;18;297000
Trigo;2008/2009;V;135000;30000;105000;17;178500
Trigo;2008/2009;VI;420000;30000;390000;16;624000
Trigo;2008/2009;VII;350000;6000;344000;26;894400
Trigo;2008/2009;VIII;173000;6000;167000;21;350700
Trigo;2008/2009;IX;350000;7000;343000;28;960400
