Cultivo;Campaña;Zona;Sembrado (Ha);Perdído(Ha);Cosechado(Ha);Rinde(qq/Ha);Producción(MTn)
Sorgo;2018/2019;XII;6500;880;5620;31.2;17552
Sorgo;2018/2019;XIII;40000;2660;37340;39.2;146370
Sorgo;2018/2019;XIV;22000;2290;19710;36.2;71377
Sorgo;2018/2019;XV;13000;1700;11300;37.4;42308
Sorgo;2018/2019;TOTAL;730000;66000;664000;37.7;2500000
Sorgo;2019/2020;I;22000;2000;20000;30;59945
Sorgo;2019/2020;II;198000;12000;186000;32.3;600380
Sorgo;2019/2020;III;70000;6300;63700;48.2;306968
Sorgo;2019/2020;IV;25000;3300;21700;47.3;102672
Sorgo;2019/2020;V;135000;17000;118000;36.4;430077
Sorgo;2019/2020;VI;25000;3600;21400;52.9;113181
Sorgo;2019/2020;VII;14000;1800;12200;54;65824
Sorgo;2019/2020;VIII;60000;6500;53500;38;203279
Sorgo;2019/2020;IX;36000;3000;33000;40;131886
Sorgo;2019/2020;X;9000;1000;8000;41.2;32942
Sorgo;2019/2020;XI;72000;4500;67500;25.9;174734
Sorgo;2019/2020;XII;8000;1000;7000;30.6;21445
Sorgo;2019/2020;XIII;40000;2700;37300;37.9;141420
Sorgo;2019/2020;XIV;23000;2400;20600;37.2;76616
Sorgo;2019/2020;XV;13000;1700;11300;34.2;38632
Sorgo;2019/2020;TOTAL;750000;68800;681200;36.7;2500000
